Time,"Coolant temperature","Oil temperature","Intake air temperature","Battery voltage","Transmission temperature","Fuel tank level","Current battery voltage","Current battery voltage","Battery power from the IBS"
0.000,0,0,0,0,0,0,0,13.42,0
0.179,0,0,0,0,0,0,0,13.42,-10.84
0.389,140.00,0,0,0,0,0,0,13.42,-10.84
0.569,140.00,138.20,0,0,0,0,0,13.42,-10.84
0.780,140.00,138.20,77.90,0,0,0,0,13.42,-10.84
0.990,140.00,138.20,77.90,13.28,0,0,0,13.42,-10.84
1.169,140.00,138.20,77.90,13.28,96.80,0,0,13.42,-10.84
1.350,140.00,138.20,77.90,13.28,96.80,47.00,0,13.42,-10.84
1.530,140.00,138.20,77.90,13.28,96.80,47.00,0.00,13.42,-10.84
1.707,140.00,138.20,77.90,13.28,96.80,47.00,0.00,13.41,-10.84
1.889,140.00,138.20,77.90,13.28,96.80,47.00,0.00,13.41,-10.50
2.069,140.00,138.20,77.90,13.28,96.80,47.00,0.00,13.41,-10.50
2.247,140.00,138.20,77.90,13.28,96.80,47.00,0.00,13.41,-10.50
2.429,140.00,138.20,77.90,13.28,96.80,47.00,0.00,13.41,-10.50
2.610,140.00,138.20,77.90,13.28,96.80,47.00,0.00,13.41,-10.50
2.802,140.00,138.20,77.90,13.28,96.80,47.00,0.00,13.41,-10.50
2.969,140.00,138.20,77.90,13.28,96.80,47.00,0.00,13.41,-10.50
3.149,140.00,138.20,77.90,13.28,96.80,47.00,0.00,13.41,-10.50
3.329,140.00,138.20,77.90,13.28,96.80,47.00,0.00,13.49,-10.50
3.510,140.00,138.20,77.90,13.28,96.80,47.00,0.00,13.49,-16.62
3.688,145.40,138.20,77.90,13.28,96.80,47.00,0.00,13.49,-16.62
3.869,145.40,138.20,77.90,13.28,96.80,47.00,0.00,13.49,-16.62
4.049,145.40,138.20,77.90,13.28,96.80,47.00,0.00,13.49,-16.62
4.227,145.40,138.20,77.90,13.75,96.80,47.00,0.00,13.49,-16.62
4.408,145.40,138.20,77.90,13.75,96.80,47.00,0.00,13.49,-16.62
4.587,145.40,138.20,77.90,13.75,96.80,47.00,0.00,13.49,-16.62
4.767,145.40,138.20,77.90,13.75,96.80,47.00,0.00,13.49,-16.62
4.947,145.40,138.20,77.90,13.75,96.80,47.00,0.00,13.96,-16.62
5.130,145.40,138.20,77.90,13.75,96.80,47.00,0.00,13.96,-19.94
5.309,152.15,138.20,77.90,13.75,96.80,47.00,0.00,13.96,-19.94
5.490,152.15,138.20,77.90,13.75,96.80,47.00,0.00,13.96,-19.94
5.669,152.15,138.20,77.90,13.75,96.80,47.00,0.00,13.96,-19.94
5.850,152.15,138.20,77.90,13.94,96.80,47.00,0.00,13.96,-19.94
6.030,152.15,138.20,77.90,13.94,96.80,47.00,0.00,13.96,-19.94
6.210,152.15,138.20,77.90,13.94,96.80,47.00,0.00,13.96,-19.94
6.390,152.15,138.20,77.90,13.94,96.80,47.00,0.00,13.96,-19.94
6.569,152.15,138.20,77.90,13.94,96.80,47.00,0.00,14.03,-19.94
6.747,152.15,138.20,77.90,13.94,96.80,47.00,0.00,14.03,-18.32
6.930,154.85,138.20,77.90,13.94,96.80,47.00,0.00,14.03,-18.32
7.109,154.85,138.20,77.90,13.94,96.80,47.00,0.00,14.03,-18.32
7.289,154.85,138.20,77.90,13.94,96.80,47.00,0.00,14.03,-18.32
7.469,154.85,138.20,77.90,13.85,96.80,47.00,0.00,14.03,-18.32
7.649,154.85,138.20,77.90,13.85,92.75,47.00,0.00,14.03,-18.32
7.830,154.85,138.20,77.90,13.85,92.75,47.00,0.00,14.03,-18.32
8.009,154.85,138.20,77.90,13.85,92.75,47.00,0.00,14.03,-18.32
8.187,154.85,138.20,77.90,13.85,92.75,47.00,0.00,14.00,-18.32
8.369,154.85,138.20,77.90,13.85,92.75,47.00,0.00,14.00,-17.02
8.550,153.50,138.20,77.90,13.85,92.75,47.00,0.00,14.00,-17.02
8.729,153.50,138.20,77.90,13.85,92.75,47.00,0.00,14.00,-17.02
8.909,153.50,138.20,77.90,13.85,92.75,47.00,0.00,14.00,-17.02
9.119,153.50,138.20,77.90,14.22,92.75,47.00,0.00,14.00,-17.02
9.300,153.50,138.20,77.90,14.22,96.80,47.00,0.00,14.00,-17.02
9.480,153.50,138.20,77.90,14.22,96.80,47.00,0.00,14.00,-17.02
9.658,153.50,138.20,77.90,14.22,96.80,47.00,0.00,14.00,-17.02
9.840,153.50,138.20,77.90,14.22,96.80,47.00,0.00,14.31,-17.02
