Time,"Coolant temperature","Oil temperature","Intake air temperature","Battery voltage","Transmission temperature","Fuel tank level","Current battery voltage","Current battery voltage","Battery power from the IBS"
0.000,0,0,0,0,0,0,0,12.84,0
0.180,0,0,0,0,0,0,0,12.84,-3.50
0.360,199.40,0,0,0,0,0,0,12.84,-3.50
0.541,199.40,201.20,0,0,0,0,0,12.84,-3.50
0.718,199.40,201.20,119.75,0,0,0,0,12.84,-3.50
0.901,199.40,201.20,119.75,12.72,0,0,0,12.84,-3.50
1.080,199.40,201.20,119.75,12.72,175.10,0,0,12.84,-3.50
1.259,199.40,201.20,119.75,12.72,175.10,44.00,0,12.84,-3.50
1.440,199.40,201.20,119.75,12.72,175.10,44.00,0.00,12.84,-3.50
1.620,199.40,201.20,119.75,12.72,175.10,44.00,0.00,12.85,-3.50
1.801,199.40,201.20,119.75,12.72,175.10,44.00,0.00,12.85,-1.66
1.981,199.40,201.20,119.75,12.72,175.10,44.00,0.00,12.85,-1.66
2.160,199.40,201.20,119.75,12.72,175.10,44.00,0.00,12.85,-1.66
2.341,199.40,201.20,119.75,12.72,175.10,44.00,0.00,12.85,-1.66
2.522,199.40,201.20,119.75,12.62,175.10,44.00,0.00,12.85,-1.66
2.701,199.40,201.20,119.75,12.62,175.10,44.00,0.00,12.85,-1.66
2.910,199.40,201.20,119.75,12.62,175.10,44.00,0.00,12.85,-1.66
3.091,199.40,201.20,119.75,12.62,175.10,44.00,0.00,12.85,-1.66
3.269,199.40,201.20,119.75,12.62,175.10,44.00,0.00,12.84,-1.66
3.449,199.40,201.20,119.75,12.62,175.10,44.00,0.00,12.84,-2.22
3.629,199.40,201.20,119.75,12.62,175.10,44.00,0.00,12.84,-2.22
3.809,199.40,201.20,119.75,12.62,175.10,44.00,0.00,12.84,-2.22
3.987,199.40,201.20,119.75,12.62,175.10,44.00,0.00,12.84,-2.22
4.170,199.40,201.20,119.75,12.72,175.10,44.00,0.00,12.84,-2.22
4.350,199.40,201.20,119.75,12.72,175.10,44.00,0.00,12.84,-2.22
4.529,199.40,201.20,119.75,12.72,175.10,44.00,0.00,12.84,-2.22
4.708,199.40,201.20,119.75,12.72,175.10,44.00,0.00,12.84,-2.22
4.890,199.40,201.20,119.75,12.72,175.10,44.00,0.00,12.85,-2.22
5.070,199.40,201.20,119.75,12.72,175.10,44.00,0.00,12.85,-3.06
5.249,200.75,201.20,119.75,12.72,175.10,44.00,0.00,12.85,-3.06
5.428,200.75,201.20,119.75,12.72,175.10,44.00,0.00,12.85,-3.06
5.611,200.75,201.20,118.40,12.72,175.10,44.00,0.00,12.85,-3.06
5.790,200.75,201.20,118.40,12.72,175.10,44.00,0.00,12.85,-3.06
5.970,200.75,201.20,118.40,12.72,175.10,44.00,0.00,12.85,-3.06
6.150,200.75,201.20,118.40,12.72,175.10,44.00,0.00,12.85,-3.06
6.327,200.75,201.20,118.40,12.72,175.10,44.00,0.00,12.85,-3.06
6.508,200.75,201.20,118.40,12.72,175.10,44.00,0.00,12.86,-3.06
6.690,200.75,201.20,118.40,12.72,175.10,44.00,0.00,12.86,-1.96
6.869,200.75,201.20,118.40,12.72,175.10,44.00,0.00,12.86,-1.96
7.048,200.75,201.20,118.40,12.72,175.10,44.00,0.00,12.86,-1.96
7.229,200.75,201.20,118.40,12.72,175.10,44.00,0.00,12.86,-1.96
7.408,200.75,201.20,118.40,12.72,175.10,44.00,0.00,12.86,-1.96
7.590,200.75,201.20,118.40,12.72,175.10,44.00,0.00,12.86,-1.96
7.770,200.75,201.20,118.40,12.72,175.10,44.00,0.00,12.86,-1.96
7.948,200.75,201.20,118.40,12.72,175.10,44.00,0.00,12.86,-1.96
8.132,200.75,201.20,118.40,12.72,175.10,44.00,0.00,12.85,-1.96
8.309,200.75,201.20,118.40,12.72,175.10,44.00,0.00,12.85,-2.34
8.499,200.75,201.20,118.40,12.72,175.10,44.00,0.00,12.85,-2.34
8.671,200.75,201.20,118.40,12.72,175.10,44.00,0.00,12.85,-2.34
8.882,200.75,201.20,118.40,12.72,175.10,44.00,0.00,12.85,-2.34
9.059,200.75,201.20,118.40,12.62,175.10,44.00,0.00,12.85,-2.34
9.238,200.75,201.20,118.40,12.62,175.10,44.00,0.00,12.85,-2.34
9.451,200.75,201.20,118.40,12.62,175.10,44.00,0.00,12.85,-2.34
9.632,200.75,201.20,118.40,12.62,175.10,44.00,0.00,12.85,-2.34
9.812,200.75,201.20,118.40,12.62,175.10,44.00,0.00,12.83,-2.34
9.991,200.75,201.20,118.40,12.62,175.10,44.00,0.00,12.83,-2.48
10.172,202.10,201.20,118.40,12.62,175.10,44.00,0.00,12.83,-2.48
10.352,202.10,201.20,118.40,12.62,175.10,44.00,0.00,12.83,-2.48
10.531,202.10,201.20,118.40,12.62,175.10,44.00,0.00,12.83,-2.48
10.711,202.10,201.20,118.40,12.81,175.10,44.00,0.00,12.83,-2.48
10.891,202.10,201.20,118.40,12.81,175.10,44.00,0.00,12.83,-2.48
11.068,202.10,201.20,118.40,12.81,175.10,44.00,0.00,12.83,-2.48
11.251,202.10,201.20,118.40,12.81,175.10,44.00,0.00,12.83,-2.48
11.431,202.10,201.20,118.40,12.81,175.10,44.00,0.00,13.01,-2.48
11.611,202.10,201.20,118.40,12.81,175.10,44.00,0.00,13.01,-23.98
11.791,202.10,201.20,118.40,12.81,175.10,44.00,0.00,13.01,-23.98
11.971,202.10,201.20,118.40,12.81,175.10,44.00,0.00,13.01,-23.98
12.152,202.10,201.20,117.05,12.81,175.10,44.00,0.00,13.01,-23.98
12.332,202.10,201.20,117.05,13.66,175.10,44.00,0.00,13.01,-23.98
12.511,202.10,201.20,117.05,13.66,177.80,44.00,0.00,13.01,-23.98
12.691,202.10,201.20,117.05,13.66,177.80,44.00,0.00,13.01,-23.98
12.869,202.10,201.20,117.05,13.66,177.80,44.00,0.00,13.01,-23.98
13.052,202.10,201.20,117.05,13.66,177.80,44.00,0.00,13.81,-23.98
13.231,202.10,201.20,117.05,13.66,177.80,44.00,0.00,13.81,-39.98
13.437,202.10,201.20,117.05,13.66,177.80,44.00,0.00,13.81,-39.98
13.651,202.10,201.20,117.05,13.66,177.80,44.00,0.00,13.81,-39.98
13.832,202.10,201.20,115.70,13.66,177.80,44.00,0.00,13.81,-39.98
14.011,202.10,201.20,115.70,13.85,177.80,44.00,0.00,13.81,-39.98
14.191,202.10,201.20,115.70,13.85,173.75,44.00,0.00,13.81,-39.98
14.371,202.10,201.20,115.70,13.85,173.75,44.00,0.00,13.81,-39.98
14.552,202.10,201.20,115.70,13.85,173.75,44.00,0.00,13.81,-39.98
14.762,202.10,201.20,115.70,13.85,173.75,44.00,0.00,13.95,-39.98
14.939,202.10,201.20,115.70,13.85,173.75,44.00,0.00,13.95,-36.56
15.122,203.45,201.20,115.70,13.85,173.75,44.00,0.00,13.95,-36.56
15.301,203.45,201.20,115.70,13.85,173.75,44.00,0.00,13.95,-36.56
15.481,203.45,201.20,115.70,13.85,173.75,44.00,0.00,13.95,-36.56
15.658,203.45,201.20,115.70,13.85,173.75,44.00,0.00,13.95,-36.56
15.841,203.45,201.20,115.70,13.85,177.80,44.00,0.00,13.95,-36.56
16.021,203.45,201.20,115.70,13.85,177.80,44.00,0.00,13.95,-36.56
16.201,203.45,201.20,115.70,13.85,177.80,44.00,0.00,13.95,-36.56
16.411,203.45,201.20,115.70,13.85,177.80,44.00,0.00,13.97,-36.56
16.591,203.45,201.20,115.70,13.85,177.80,44.00,0.00,13.97,-34.38
16.771,203.45,201.20,115.70,13.85,177.80,44.00,0.00,13.97,-34.38
16.951,203.45,201.20,115.70,13.85,177.80,44.00,0.00,13.97,-34.38
17.131,203.45,201.20,114.35,13.85,177.80,44.00,0.00,13.97,-34.38
17.312,203.45,201.20,114.35,13.94,177.80,44.00,0.00,13.97,-34.38
17.490,203.45,201.20,114.35,13.94,177.80,44.00,0.00,13.97,-34.38
17.672,203.45,201.20,114.35,13.94,177.80,44.00,0.00,13.97,-34.38
17.852,203.45,201.20,114.35,13.94,177.80,44.00,0.00,13.97,-34.38
18.032,203.45,201.20,114.35,13.94,177.80,44.00,0.00,14.06,-34.38
18.211,203.45,201.20,114.35,13.94,177.80,44.00,0.00,14.06,-33.46
18.391,204.80,201.20,114.35,13.94,177.80,44.00,0.00,14.06,-33.46
18.571,204.80,201.20,114.35,13.94,177.80,44.00,0.00,14.06,-33.46
18.752,204.80,201.20,114.35,13.94,177.80,44.00,0.00,14.06,-33.46
18.931,204.80,201.20,114.35,13.66,177.80,44.00,0.00,14.06,-33.46
19.108,204.80,201.20,114.35,13.66,177.80,44.00,0.00,14.06,-33.46
19.292,204.80,201.20,114.35,13.66,177.80,44.00,0.00,14.06,-33.46
19.472,204.80,201.20,114.35,13.66,177.80,44.00,0.00,14.06,-33.46
19.652,204.80,201.20,114.35,13.66,177.80,44.00,0.00,13.97,-33.46
19.832,204.80,201.20,114.35,13.66,177.80,44.00,0.00,13.97,-32.58
20.012,204.80,201.20,114.35,13.66,177.80,44.00,0.00,13.97,-32.58
20.191,204.80,201.20,114.35,13.66,177.80,44.00,0.00,13.97,-32.58
20.369,204.80,201.20,113.00,13.66,177.80,44.00,0.00,13.97,-32.58
20.552,204.80,201.20,113.00,13.85,177.80,44.00,0.00,13.97,-32.58
20.732,204.80,201.20,113.00,13.85,177.80,44.00,0.00,13.97,-32.58
20.912,204.80,201.20,113.00,13.85,177.80,44.00,0.00,13.97,-32.58
21.122,204.80,201.20,113.00,13.85,177.80,44.00,0.00,13.97,-32.58
21.301,204.80,201.20,113.00,13.85,177.80,44.00,0.00,14.16,-32.58
21.481,204.80,201.20,113.00,13.85,177.80,44.00,0.00,14.16,-31.70
21.661,206.15,201.20,113.00,13.85,177.80,44.00,0.00,14.16,-31.70
21.872,206.15,203.00,113.00,13.85,177.80,44.00,0.00,14.16,-31.70
22.052,206.15,203.00,113.00,13.85,177.80,44.00,0.00,14.16,-31.70
22.231,206.15,203.00,113.00,14.13,177.80,44.00,0.00,14.16,-31.70
22.411,206.15,203.00,113.00,14.13,177.80,44.00,0.00,14.16,-31.70
22.589,206.15,203.00,113.00,14.13,177.80,44.00,0.00,14.16,-31.70
22.771,206.15,203.00,113.00,14.13,177.80,44.00,0.00,14.16,-31.70
22.949,206.15,203.00,113.00,14.13,177.80,44.00,0.00,14.38,-31.70
23.131,206.15,203.00,113.00,14.13,177.80,44.00,0.00,14.38,-29.64
23.311,206.15,203.00,113.00,14.13,177.80,44.00,0.00,14.38,-29.64
23.488,206.15,203.00,113.00,14.13,177.80,44.00,0.00,14.38,-29.64
23.672,206.15,203.00,111.65,14.13,177.80,44.00,0.00,14.38,-29.64
23.850,206.15,203.00,111.65,13.94,177.80,44.00,0.00,14.38,-29.64
24.031,206.15,203.00,111.65,13.94,177.80,44.00,0.00,14.38,-29.64
24.241,206.15,203.00,111.65,13.94,177.80,44.00,0.00,14.38,-29.64
24.422,206.15,203.00,111.65,13.94,177.80,44.00,0.00,14.38,-29.64
24.602,206.15,203.00,111.65,13.94,177.80,44.00,0.00,14.26,-29.64
24.781,206.15,203.00,111.65,13.94,177.80,44.00,0.00,14.26,-26.68
24.961,206.15,203.00,111.65,13.94,177.80,44.00,0.00,14.26,-26.68
25.141,206.15,203.00,111.65,13.94,177.80,44.00,0.00,14.26,-26.68
25.321,206.15,203.00,111.65,13.94,177.80,44.00,0.00,14.26,-26.68
25.499,206.15,203.00,111.65,14.13,177.80,44.00,0.00,14.26,-26.68
25.681,206.15,203.00,111.65,14.13,177.80,44.00,0.00,14.26,-26.68
25.861,206.15,203.00,111.65,14.13,177.80,44.00,0.00,14.26,-26.68
26.041,206.15,203.00,111.65,14.13,177.80,44.00,0.00,14.26,-26.68
26.222,206.15,203.00,111.65,14.13,177.80,44.00,0.00,14.39,-26.68
26.402,206.15,203.00,111.65,14.13,177.80,44.00,0.00,14.39,-29.08
26.582,206.15,203.00,111.65,14.13,177.80,44.00,0.00,14.39,-29.08
26.761,206.15,203.00,111.65,14.13,177.80,44.00,0.00,14.39,-29.08
26.941,206.15,203.00,110.30,14.13,177.80,44.00,0.00,14.39,-29.08
27.121,206.15,203.00,110.30,14.32,177.80,44.00,0.00,14.39,-29.08
27.301,206.15,203.00,110.30,14.32,177.80,44.00,0.00,14.39,-29.08
27.481,206.15,203.00,110.30,14.32,177.80,44.00,0.00,14.39,-29.08
27.661,206.15,203.00,110.30,14.32,177.80,44.00,0.00,14.39,-29.08
27.872,206.15,203.00,110.30,14.32,177.80,44.00,0.00,14.47,-29.08
28.051,206.15,203.00,110.30,14.32,177.80,44.00,0.00,14.47,-29.10
28.230,203.45,203.00,110.30,14.32,177.80,44.00,0.00,14.47,-29.10
28.411,203.45,203.00,110.30,14.32,177.80,44.00,0.00,14.47,-29.10
28.592,203.45,203.00,108.95,14.32,177.80,44.00,0.00,14.47,-29.10
28.801,203.45,203.00,108.95,14.51,177.80,44.00,0.00,14.47,-29.10
28.978,203.45,203.00,108.95,14.51,177.80,44.00,0.00,14.47,-29.10
29.163,203.45,203.00,108.95,14.51,177.80,44.00,0.00,14.47,-29.10
29.340,203.45,203.00,108.95,14.51,177.80,44.00,0.00,14.47,-29.10
29.522,203.45,203.00,108.95,14.51,177.80,44.00,0.00,14.54,-29.10
29.701,203.45,203.00,108.95,14.51,177.80,44.00,0.00,14.54,-25.92
29.881,199.40,203.00,108.95,14.51,177.80,44.00,0.00,14.54,-25.92
30.061,199.40,203.00,108.95,14.51,177.80,44.00,0.00,14.54,-25.92
30.241,199.40,203.00,108.95,14.51,177.80,44.00,0.00,14.54,-25.92
30.422,199.40,203.00,108.95,14.22,177.80,44.00,0.00,14.54,-25.92
30.601,199.40,203.00,108.95,14.22,177.80,44.00,0.00,14.54,-25.92
30.781,199.40,203.00,108.95,14.22,177.80,44.00,0.00,14.54,-25.92
30.961,199.40,203.00,108.95,14.22,177.80,44.00,0.00,14.54,-25.92
31.142,199.40,203.00,108.95,14.22,177.80,44.00,0.00,14.40,-25.92
31.322,199.40,203.00,108.95,14.22,177.80,44.00,0.00,14.40,-26.08
31.501,195.35,203.00,108.95,14.22,177.80,44.00,0.00,14.40,-26.08
31.682,195.35,203.00,108.95,14.22,177.80,44.00,0.00,14.40,-26.08
31.861,195.35,203.00,108.95,14.22,177.80,44.00,0.00,14.40,-26.08
32.041,195.35,203.00,108.95,14.22,177.80,44.00,0.00,14.40,-26.08
32.221,195.35,203.00,108.95,14.22,177.80,44.00,0.00,14.40,-26.08
32.401,195.35,203.00,108.95,14.22,177.80,44.00,0.00,14.40,-26.08
32.582,195.35,203.00,108.95,14.22,177.80,44.00,0.00,14.40,-26.08
32.761,195.35,203.00,108.95,14.22,177.80,44.00,0.00,14.39,-26.08
32.941,195.35,203.00,108.95,14.22,177.80,44.00,0.00,14.39,-25.76
33.122,192.65,203.00,108.95,14.22,177.80,44.00,0.00,14.39,-25.76
33.301,192.65,203.00,108.95,14.22,177.80,44.00,0.00,14.39,-25.76
33.510,192.65,203.00,108.95,14.22,177.80,44.00,0.00,14.39,-25.76
33.688,192.65,203.00,108.95,14.22,177.80,44.00,0.00,14.39,-25.76
33.871,192.65,203.00,108.95,14.22,177.80,44.00,0.00,14.39,-25.76
34.051,192.65,203.00,108.95,14.22,177.80,44.00,0.00,14.39,-25.76
34.232,192.65,203.00,108.95,14.22,177.80,44.00,0.00,14.39,-25.76
34.412,192.65,203.00,108.95,14.22,177.80,44.00,0.00,14.41,-25.76
34.591,192.65,203.00,108.95,14.22,177.80,44.00,0.00,14.41,-24.98
34.771,191.30,203.00,108.95,14.22,177.80,44.00,0.00,14.41,-24.98
34.952,191.30,203.00,108.95,14.22,177.80,44.00,0.00,14.41,-24.98
35.131,191.30,203.00,108.95,14.22,177.80,44.00,0.00,14.41,-24.98
35.311,191.30,203.00,108.95,14.22,177.80,44.00,0.00,14.41,-24.98
35.491,191.30,203.00,108.95,14.22,177.80,44.00,0.00,14.41,-24.98
35.671,191.30,203.00,108.95,14.22,177.80,44.00,0.00,14.41,-24.98
35.851,191.30,203.00,108.95,14.22,177.80,44.00,0.00,14.41,-24.98
36.032,191.30,203.00,108.95,14.22,177.80,44.00,0.00,14.37,-24.98
36.212,191.30,203.00,108.95,14.22,177.80,44.00,0.00,14.37,-22.22
36.392,191.30,203.00,108.95,14.22,177.80,44.00,0.00,14.37,-22.22
36.571,191.30,203.00,108.95,14.22,177.80,44.00,0.00,14.37,-22.22
36.751,191.30,203.00,107.60,14.22,177.80,44.00,0.00,14.37,-22.22
36.931,191.30,203.00,107.60,13.38,177.80,44.00,0.00,14.37,-22.22
37.112,191.30,203.00,107.60,13.38,177.80,44.00,0.00,14.37,-22.22
37.291,191.30,203.00,107.60,13.38,177.80,44.00,0.00,14.37,-22.22
37.471,191.30,203.00,107.60,13.38,177.80,44.00,0.00,14.37,-22.22
37.652,191.30,203.00,107.60,13.38,177.80,44.00,0.00,13.54,-22.22
37.831,191.30,203.00,107.60,13.38,177.80,44.00,0.00,13.54,-13.56
38.011,189.95,203.00,107.60,13.38,177.80,44.00,0.00,13.54,-13.56
38.222,189.95,203.00,107.60,13.38,177.80,44.00,0.00,13.54,-13.56
38.401,189.95,203.00,107.60,13.38,177.80,44.00,0.00,13.54,-13.56
38.581,189.95,203.00,107.60,13.66,177.80,44.00,0.00,13.54,-13.56
38.762,189.95,203.00,107.60,13.66,177.80,44.00,0.00,13.54,-13.56
38.941,189.95,203.00,107.60,13.66,177.80,44.00,0.00,13.54,-13.56
39.128,189.95,203.00,107.60,13.66,177.80,44.00,0.00,13.54,-13.56
39.301,189.95,203.00,107.60,13.66,177.80,44.00,0.00,13.63,-13.56
39.482,189.95,203.00,107.60,13.66,177.80,44.00,0.00,13.63,-7.22
39.662,189.95,203.00,107.60,13.66,177.80,44.00,0.00,13.63,-7.22
39.842,189.95,203.00,107.60,13.66,177.80,44.00,0.00,13.63,-7.22
40.022,189.95,203.00,108.95,13.66,177.80,44.00,0.00,13.63,-7.22
40.202,189.95,203.00,108.95,13.38,177.80,44.00,0.00,13.63,-7.22
40.381,189.95,203.00,108.95,13.38,177.80,44.00,0.00,13.63,-7.22
40.561,189.95,203.00,108.95,13.38,177.80,44.00,0.00,13.63,-7.22
40.741,189.95,203.00,108.95,13.38,177.80,44.00,0.00,13.63,-7.22
40.922,189.95,203.00,108.95,13.38,177.80,44.00,0.00,13.53,-7.22
41.101,189.95,203.00,108.95,13.38,177.80,44.00,0.00,13.53,-20.20
41.281,188.60,203.00,108.95,13.38,177.80,44.00,0.00,13.53,-20.20
41.461,188.60,203.00,108.95,13.38,177.80,44.00,0.00,13.53,-20.20
41.668,188.60,203.00,108.95,13.38,177.80,44.00,0.00,13.53,-20.20
41.851,188.60,203.00,108.95,14.04,177.80,44.00,0.00,13.53,-20.20
42.032,188.60,203.00,108.95,14.04,179.15,44.00,0.00,13.53,-20.20
42.212,188.60,203.00,108.95,14.04,179.15,44.00,0.00,13.53,-20.20
42.392,188.60,203.00,108.95,14.04,179.15,44.00,0.00,13.53,-20.20
42.570,188.60,203.00,108.95,14.04,179.15,44.00,0.00,14.16,-20.20
42.752,188.60,203.00,108.95,14.04,179.15,44.00,0.00,14.16,-24.46
42.931,188.60,203.00,108.95,14.04,179.15,44.00,0.00,14.16,-24.46
43.111,188.60,203.00,108.95,14.04,179.15,44.00,0.00,14.16,-24.46
43.292,188.60,203.00,110.30,14.04,179.15,44.00,0.00,14.16,-24.46
43.472,188.60,203.00,110.30,13.94,179.15,44.00,0.00,14.16,-24.46
43.652,188.60,203.00,110.30,13.94,175.10,44.00,0.00,14.16,-24.46
